time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-16T01:08:41.477Z,11.0278,138.7464,10,4.6,mb,31,121,13.584,0.95,us,us7000m0kh,2024-02-21T22:19:18.040Z,"180 km NNE of Colonia, Micronesia",earthquake,9.54,1.869,0.122,20,reviewed,us,us
2024-02-15T23:59:35.815Z,-29.1723,-71.8781,10.132,4.8,mwr,42,140,0.929,0.76,us,us7000lzib,2024-02-16T21:18:01.399Z,"101 km NNW of Coquimbo, Chile",earthquake,4.68,3.915,0.035,79,reviewed,us,us
2024-02-15T23:58:09.709Z,8.7633,126.3657,73.522,4.5,mb,46,64,1.854,0.8,us,us7000lzif,2024-02-16T00:28:16.938Z,"8 km ESE of Marihatag, Philippines",earthquake,9.22,6.155,0.081,45,reviewed,us,us
2024-02-15T20:53:37.004Z,-11.4723,-77.3335,67.253,5.2,mww,77,136,0.703,0.61,us,us7000lzhj,2024-02-18T20:59:35.077Z,"13 km NNW of Chancay, Peru",earthquake,9.9,6.691,0.093,11,reviewed,us,us
2024-02-15T18:53:02.597Z,8.7824,126.3086,41.793,4.6,mb,44,118,1.849,0.82,us,us7000lzgx,2024-02-15T19:09:11.040Z,"2 km SSE of Marihatag, Philippines",earthquake,8.03,8.286,0.078,50,reviewed,us,us
2024-02-15T18:27:12.549Z,7.0453,-77.0524,40.052,4.7,mb,37,91,1.735,0.65,us,us7000lzgv,2024-02-15T23:05:50.057Z,"26 km WNW of Murindó, Colombia",earthquake,5.48,8.818,0.104,28,reviewed,us,us
2024-02-15T17:55:13.587Z,52.3408,159.6049,59.792,4.9,mb,82,137,0.897,0.51,us,us7000lzgr,2024-02-15T18:35:39.536Z,"104 km SE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.75,6.588,0.045,152,reviewed,us,us
2024-02-15T15:54:01.995Z,-8.456,112.2448,121.063,4.6,mb,40,94,1.887,1.32,us,us7000lzfn,2024-02-15T16:12:13.040Z,"40 km SSE of Blitar, Indonesia",earthquake,7.31,7.304,0.105,31,reviewed,us,us
2024-02-15T12:21:15.920Z,-18.2027,-178.3091,539.436,4.8,mb,46,78,2.803,0.96,us,us7000lzef,2024-02-15T16:38:11.567Z,"251 km E of Levuka, Fiji",earthquake,13.8,7.928,0.075,57,reviewed,us,us
2024-02-15T10:41:59.372Z,23.8758,142.2041,74.564,4.5,mb,36,136,3.206,0.56,us,us7000m0dl,2024-02-22T09:34:46.040Z,"Volcano Islands, Japan region",earthquake,9.95,7.845,0.131,17,reviewed,us,us
